小区名称,楼,单元,房屋,业主姓名,证件号码,证件类型,电梯标志,摘要,交易时间,交易金额,发票号,面积
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,开户,2024-01-05,0,,89.50
锦绣花园,1,1,101,王芳,110101198501011235,身份证,有,开户,2024-01-05,0,,89.50
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,缴存,2024-01-10,10000,F1001,89.50
锦绣花园,1,1,101,王芳,110101198501011235,身份证,有,缴存,2024-01-10,10000,F1002,89.50
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,支用,2024-05-20,3000,F1003,89.50
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,分红,2024-06-01,500,F1004,89.50
锦绣花园,1,1,101,王芳,110101198501011235,身份证,有,退款,2024-07-15,800,F1005,89.50
锦绣花园,2,2,202,赵敏,110101199001011236,身份证,有,开户,2024-02-01,0,,76.20
锦绣花园,2,2,202,赵敏,110101199001011236,身份证,有,缴存,2024-02-10,15000,F2001,76.20
锦绣花园,2,2,202,赵敏,110101199001011236,身份证,有,支用,2024-08-01,2500,F2002,76.20
锦绣花园,3,,301,孙立,110101199201011237,身份证,无,缴存,2024-03-01,12000,F3001,95.00
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,缴存,2024-01-10,10000,F1001,89.50
锦绣花园,1,1,101,李强,110101198001011234,身份证,有,代缴,2024-09-01,100,,
